rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1538693480682990442,,5116,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693480730352011,,5117,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693480779210556,,5118,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693480830381917,,5119,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693480942411499,,5120,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693480945655245,,5121,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693480979189173,,5122,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481030353552,,5123,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481079382435,,5124,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481129087389,,5125,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481181748988,,5126,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481229711900,,5127,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481381016761,,5128,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481390601428,,5129,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481390640250,,5130,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481430427678,,5131,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481480784344,,5132,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481530188250,,5133,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481580333481,,5134,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481630191647,,5135,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481680795193,,5136,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481800492556,,5137,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481806473323,,5138,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481835360189,,5139,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481887626703,,5140,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481930491849,,5141,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693481980790343,,5142,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693482033987617,,5143,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693482090027851,,5144,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538693482130692421,,5145,,1538693304,760533467,'',"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
